ID,Treatment,Block,Plot,Quadrat,X,Y,Shrub,Compass,Distance,Year,Age,Size,Fert
C.III.9.5.61.53,C,III,9,5,61,53,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.63.12,C,III,9,5,63,12,NA,NA,NA,1997,1,4,0
C.III.9.5.64.23,C,III,9,5,64,23,NA,NA,NA,1997,999,17,4
C.III.9.5.64.84,C,III,9,5,64,84,NA,NA,NA,1997,999,7,2
C.III.9.5.67.80,C,III,9,5,67,80,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.68.60,C,III,9,5,68,60,NA,NA,NA,1997,999,28,11
C.III.9.5.69.17,C,III,9,5,69,17,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.70.14,C,III,9,5,70,14,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.70.83,C,III,9,5,70,83,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.70.99,C,III,9,5,70,99,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.72.11,C,III,9,5,72,11,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.72.85,C,III,9,5,72,85,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.73.14,C,III,9,5,73,14,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.75.28,C,III,9,5,75,28,NA,NA,NA,1997,1,2,0
C.III.9.5.75.78,C,III,9,5,75,78,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.77.8,C,III,9,5,77,8,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.78.8,C,III,9,5,78,8,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.78.27,C,III,9,5,78,27,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.79.90,C,III,9,5,79,90,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.80.8,C,III,9,5,80,8,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.80.19,C,III,9,5,80,19,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.83.28,C,III,9,5,83,28,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.84.8,C,III,9,5,84,8,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.85.63,C,III,9,5,85,63,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.87.8,C,III,9,5,87,8,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.91.26,C,III,9,5,91,26,NA,NA,NA,1997,999,19,10
C.III.9.5.94.64,C,III,9,5,94,64,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.94.68,C,III,9,5,94,68,NA,NA,NA,1997,999,7,0
C.III.9.5.95.14,C,III,9,5,95,14,NA,NA,NA,1997,999,23,0
C.III.9.5.95.56,C,III,9,5,95,56,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.96.3,C,III,9,5,96,3,NA,NA,NA,1997,NA,NA,NA
C.III.9.5.100.0,C,III,9,5,100,0,NA,NA,NA,1997,999,15,0
C.III.9.5.100.61,C,III,9,5,100,61,NA,NA,NA,1997,1,1,0
C.III.9.6.10.20,C,III,9,6,10,20,NA,NA,NA,1997,NA,NA,NA
C.III.9.6.19.30,C,III,9,6,19,30,NA,NA,NA,1997,999,8,0
C.III.9.6.29.29,C,III,9,6,29,29,NA,NA,NA,1997,999,5,2
C.III.9.6.33.48,C,III,9,6,33,48,NA,NA,NA,1997,999,11,0
C.III.9.6.40.25,C,III,9,6,40,25,NA,NA,NA,1997,NA,NA,NA
C.III.9.6.43.30,C,III,9,6,43,30,NA,NA,NA,1997,NA,NA,NA
C.III.9.6.65.92,C,III,9,6,65,92,NA,NA,NA,1997,1,3,0
C.III.9.6.79.85,C,III,9,6,79,85,NA,NA,NA,1997,999,11,0
C.III.9.6.91.89,C,III,9,6,91,89,NA,NA,NA,1997,1,1,0
C.III.9.6.97.90,C,III,9,6,97,90,NA,NA,NA,1997,1,4,0
C.III.9.7.2.15,C,III,9,7,2,15,NA,NA,NA,1997,999,4,4
C.III.9.7.5.54,C,III,9,7,5,54,NA,NA,NA,1997,999,8,0
C.III.9.7.7.46,C,III,9,7,7,46,NA,NA,NA,1997,999,7,0
C.III.9.7.7.59,C,III,9,7,7,59,NA,NA,NA,1997,999,11,0
C.III.9.7.8.95,C,III,9,7,8,95,NA,NA,NA,1997,1,1,0
C.III.9.7.20.69,C,III,9,7,20,69,NA,NA,NA,1997,NA,NA,NA
C.III.9.7.31.68,C,III,9,7,31,68,NA,NA,NA,1997,999,8,4
C.III.9.7.37.88,C,III,9,7,37,88,NA,NA,NA,1997,1,2,0
C.III.9.7.38.42,C,III,9,7,38,42,NA,NA,NA,1997,999,8,0
C.III.9.7.38.94,C,III,9,7,38,94,NA,NA,NA,1997,999,12,0
C.III.9.7.43.7,C,III,9,7,43,7,NA,NA,NA,1997,999,4,2
C.III.9.7.43.49,C,III,9,7,43,49,NA,NA,NA,1997,999,8,4
C.III.9.7.44.34,C,III,9,7,44,34,NA,NA,NA,1997,NA,NA,NA
C.III.9.7.46.97,C,III,9,7,46,97,NA,NA,NA,1997,999,9,2
